pattern,position,missing_rate,accuracy,macro_f1,mae,pearson,selection_score,accuracy_drop,macro_f1_drop,mae_increase,pearson_drop
audio,begin,0.1,0.625,0.6055120291381993,0.5955142624392226,0.636669390353703,1.0933028538820966,0.0013736263736263687,0.001691794771416455,0.0013789757875122266,0.0004221307401982566
audio,begin,0.2,0.625,0.6051506529954938,0.5961496302318134,0.6362297291722421,1.0923429746097826,0.0013736263736263687,0.002053170914122049,0.002014343580103106,0.0008617919216591385
audio,begin,0.3,0.625,0.6042816607974466,0.5971767613565124,0.6358340238378479,1.0908214942961665,0.0013736263736263687,0.002922163112169196,0.003041474704802094,0.001257497256053286
audio,begin,0.4,0.6208791208791209,0.5994069243639796,0.5986123040796943,0.6351172571765501,1.0848711055206062,0.005494505494505475,0.007796899545636227,0.004477017427984009,0.0019742639173511156
audio,begin,0.48,0.6181318681318682,0.5964748329939628,0.5995054017313612,0.6347362933647931,1.0813347759259155,0.008241758241758212,0.010728990915653047,0.005370115079650906,0.0023552277291081225
audio,middle,0.1,0.625,0.6053690945187853,0.5955566066793155,0.6365637011080446,1.093043643957001,0.0013736263736263687,0.001834729390830514,0.0014213200276051996,0.0005278199858566035
audio,middle,0.2,0.6236263736263736,0.6035297588714374,0.596574690779492,0.6360627234959141,1.0904488096724785,0.0027472527472527375,0.0036740650381783535,0.0024394041277816525,0.00102879759798713
audio,middle,0.3,0.6236263736263736,0.6035297588714374,0.5977794980351393,0.6354825511946722,1.0895674355573248,0.0027472527472527375,0.0036740650381783535,0.0036442113834289636,0.0016089698992289847
audio,middle,0.4,0.6236263736263736,0.6038446966097077,0.5981615489460067,0.6354016663518822,1.0897059757250882,0.0027472527472527375,0.00335912729990806,0.004026262294296368,0.0016898547420189924
audio,middle,0.48,0.6222527472527473,0.6019992245884369,0.5983896761125844,0.6353917486926255,1.0877935542529162,0.004120879120879106,0.005204599321178893,0.004254389460874086,0.0016997724012757232
audio,end,0.1,0.6263736263736264,0.6069961406675534,0.5951603558565334,0.6365283525544461,1.0947344042578662,0.0,0.0002076832420624397,0.001025069204823037,0.00056316853945515
audio,end,0.2,0.625,0.6059210731078263,0.595440926666085,0.6365745785665138,1.0936354200078189,0.0013736263736263687,0.0012827508017895228,0.0013056400143746094,0.0005169425273874317
audio,end,0.3,0.625,0.6057763356864414,0.5960069148619608,0.6364436392858992,1.0932182462568505,0.0013736263736263687,0.0014274882231744002,0.0018716282102504422,0.0006478818080020154
audio,end,0.4,0.6208791208791209,0.6017897473917201,0.5958860885783017,0.6365747248009379,1.0893929500480826,0.005494505494505475,0.005414076517895716,0.0017508019265913832,0.0005167962929633063
audio,end,0.48,0.6222527472527473,0.6028626669570852,0.5964461706334387,0.6363741104090903,1.0901252347078159,0.004120879120879106,0.004341156952530567,0.0023108839817284066,0.0007174106848109041
vision,begin,0.1,0.6263736263736264,0.6069781227357695,0.5944427563242773,0.6374469232960678,1.095814356950768,0.0,0.0002257011738463488,0.00030746967256700675,-0.00035540220216656593
vision,begin,0.2,0.6263736263736264,0.6072979074461241,0.5949440637662889,0.636658604827356,1.0952204963319079,0.0,-9.408353650830481e-05,0.0008087771145786071,0.00043291626654518023
vision,begin,0.3,0.6291208791208791,0.6102042555263414,0.5952001664848937,0.6367632927059417,1.0981675066110597,-0.0027472527472527375,-0.003000431616725585,0.0010648798331833742,0.00032822838795953935
vision,begin,0.4,0.6291208791208791,0.6095923519190728,0.5963631311289526,0.6360160740559597,1.0965176431927943,-0.0027472527472527375,-0.0023885280094569916,0.0022278444772422246,0.0010754470379414904
vision,begin,0.48,0.625,0.605955627848244,0.5974825203551778,0.6350548703593594,1.0916398681188089,0.0013736263736263687,0.0012481960613718313,0.003347233703467456,0.002036650734541845
vision,middle,0.1,0.625,0.6061280481630007,0.5946913375986157,0.6367212245419097,1.0941764383052563,0.0013736263736263687,0.0010757757466151041,0.000556050946905362,0.00037029655199150024
vision,middle,0.2,0.6263736263736264,0.6075408462505236,0.5953488283375519,0.636009450035987,1.0947130892021226,0.0,-0.0003370223409078221,0.0012135416858415349,0.0010820710579142467
vision,middle,0.3,0.6263736263736264,0.6075408462505236,0.5963016018296392,0.6355103123757678,1.0939757581688818,0.0,-0.0003370223409078221,0.002166315177928868,0.0015812087181333867
vision,middle,0.4,0.625,0.6064648535114855,0.5967494252401373,0.6350861399588539,1.0923636371603052,0.0013736263736263687,0.000738970398130312,0.002614138588426962,0.002005381135047335
vision,middle,0.48,0.6263736263736264,0.6076357663276367,0.5969547386905485,0.6347292167278331,1.0931262983828325,0.0,-0.00043194241802091415,0.002819452038838155,0.002362304366068102
vision,end,0.1,0.6263736263736264,0.6072038239096158,0.59523728885496,0.6366440332078894,1.095038534903765,0.0,0.0,0.0011020022032496302,0.00044748788601178813
vision,end,0.2,0.625,0.6061797583694212,0.5959314441994078,0.6361899790992984,1.0933868764188674,0.0013736263736263687,0.0010240655401946297,0.0017961575476974634,0.0009015419946027947
vision,end,0.3,0.6236263736263736,0.6046903106311868,0.5964487704677395,0.6350973049868004,1.0906754230010525,0.0027472527472527375,0.0025135132784289693,0.0023134838160291382,0.0019942161071008213
vision,end,0.4,0.6222527472527473,0.60361510223743,0.5969755094457458,0.6344889543421923,1.0888601792181858,0.004120879120879106,0.003588721672185824,0.0028402227940355074,0.00260256675170889
vision,end,0.48,0.6236263736263736,0.6048358530528776,0.5970597877058426,0.6342858538969501,1.089856760023367,0.0027472527472527375,0.002367970856738233,0.0029245010541322225,0.0028056671969510782
audio_vision,begin,0.1,0.6277472527472527,0.6086178566439374,0.5946936622539607,0.6371136199901665,1.0970580610706138,-0.0013736263736263687,-0.001414032734321613,0.0005583756022503605,-2.209889626525463e-05
audio_vision,begin,0.2,0.625,0.6056085096676158,0.5959135549632925,0.6359496681990457,1.0925797891258384,0.0013736263736263687,0.00159531424199999,0.0017782683115821207,0.0011418528948554663
audio_vision,begin,0.3,0.6277472527472527,0.6077504111589442,0.5970582983899186,0.635822096319916,1.0943079328813805,-0.0013736263736263687,-0.0005465872493284341,0.002923011738208303,0.0012694247739851727
audio_vision,begin,0.4,0.6222527472527473,0.600243249245402,0.5994246708143471,0.634559326326251,1.0849464078680662,0.004120879120879106,0.006960574664213848,0.005289384162636801,0.002532194767650209
audio_vision,begin,0.48,0.6222527472527473,0.6004259524948191,0.601317572777139,0.6332669070342438,1.0833634663347782,0.004120879120879106,0.006777871414796688,0.007182286125428705,0.003824614059657394
audio_vision,middle,0.1,0.6263736263736264,0.6079558762694154,0.5950904624340903,0.6362985480819855,1.0954818087428784,0.0,-0.0007520523597995821,0.0009551757823799134,0.0007929730119157208
audio_vision,middle,0.2,0.6236263736263736,0.6042957157650785,0.5969658227829944,0.6351117856603236,1.0901660457296534,0.0027472527472527375,0.002908108144537347,0.002830536131284034,0.0019797354335776562
audio_vision,middle,0.3,0.6263736263736264,0.6072038239096158,0.5990278552705933,0.6341132309528958,1.0915600910448633,0.0,0.0,0.0048925686188829864,0.0029782901410053686
audio_vision,middle,0.4,0.6236263736263736,0.6038446966097077,0.599533558546522,0.6338262297161653,1.0877875366892424,0.0027472527472527375,0.00335912729990806,0.005398271894811679,0.0032652913777359016
