version,file_name,matched_id,modality,detection,start,end,length,valid_length,relative_start,relative_length
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,217,217,1,233,0.9313304721030042,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,219,219,1,233,0.9399141630901288,0.004291845493562232
unaligned,unaligned_version_20.pkl,,vision,heuristic_internal_zeros,230,230,1,233,0.9871244635193133,0.004291845493562232
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,4,4,1,67,0.05970149253731343,0.014925373134328358
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,8,8,1,67,0.11940298507462686,0.014925373134328358
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,11,11,1,67,0.16417910447761194,0.014925373134328358
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,13,15,3,67,0.19402985074626866,0.04477611940298507
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,18,18,1,67,0.26865671641791045,0.014925373134328358
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,21,22,2,67,0.31343283582089554,0.029850746268656716
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,25,25,1,67,0.373134328358209,0.014925373134328358
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,27,27,1,67,0.40298507462686567,0.014925373134328358
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,30,30,1,67,0.44776119402985076,0.014925373134328358
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,36,36,1,67,0.5373134328358209,0.014925373134328358
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,41,42,2,67,0.6119402985074627,0.029850746268656716
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,45,47,3,67,0.6716417910447762,0.04477611940298507
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,49,50,2,67,0.7313432835820896,0.029850746268656716
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,57,58,2,67,0.8507462686567164,0.029850746268656716
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,63,63,1,67,0.9402985074626866,0.014925373134328358
unaligned,unaligned_version_21.pkl,,audio,heuristic_internal_zeros,65,65,1,67,0.9701492537313433,0.014925373134328358
unaligned,unaligned_version_21.pkl,,vision,heuristic_internal_zeros,0,0,1,51,0.0,0.0196078431372549
unaligned,unaligned_version_21.pkl,,vision,heuristic_internal_zeros,4,4,1,51,0.0784313725490196,0.0196078431372549
unaligned,unaligned_version_21.pkl,,vision,heuristic_internal_zeros,6,6,1,51,0.11764705882352941,0.0196078431372549
unaligned,unaligned_version_21.pkl,,vision,heuristic_internal_zeros,8,9,2,51,0.1568627450980392,0.0392156862745098
unaligned,unaligned_version_21.pkl,,vision,heuristic_internal_zeros,13,14,2,51,0.2549019607843137,0.0392156862745098
unaligned,unaligned_version_21.pkl,,vision,heuristic_internal_zeros,23,23,1,51,0.45098039215686275,0.0196078431372549
unaligned,unaligned_version_21.pkl,,vision,heuristic_internal_zeros,28,28,1,51,0.5490196078431373,0.0196078431372549
unaligned,unaligned_version_21.pkl,,vision,heuristic_internal_zeros,30,30,1,51,0.5882352941176471,0.0196078431372549
